<before>	287 223 349 317 178 170 401 185 283 255 323 242 381 302 354 94 204 397 93 413 3 281 37 95 58 395 47 361 103 393 42 358 342 327 237 415 216 31 427 319 1 365 152 200 89 45 188 68 142 312 143 225 44 62 367 338 201 261 260 414 266 438 114 340 84 228 134 171 215 41 391 325 210 396 169 245 18 10 273 87 4 50 398 339 337 440 428 241 236 57 406 309 72 8 144 64 353 138 181 46 195 336 126 290 67 356 146 157 135 231 362 407 403 70 264 366 98 19 123 270 121 374 297 233 392 219 196 435 69 385 90 5 268 179 372 111 163 421 137 295 150 132 15 211 154 43 49 249 217 20 310 116 56 140 422 232 59 269 109 285 375 364 16 148 298 74 274 296 26 187 333 318 250 102 158 81 227 262 112 286 85 105 115 6 256 38 164 78 436 190 437 341 35 314 76 313 328 177 373 25 191 400 359 382 331 213 351 33 234 88 202 77 13 322 244 128 292 40 36 147 136 120 412 106 370 63 51 402 117 303 11 214 418 24 243 159 124 21 277 79 330 332 66 410 97 263 176 307 226 149 352 350 254 86 441 28 386 304 377 300 209 432 334 30 378 80 279 139 420 326 246 308 92 424 434 145 113 60 384 39 104 276 238 218 320 311 417 207 162 430 284 160 289 9 183 360 275 52 383 99 442 167 55 129 443 278 425 14 203 394 357 371 73 379 130 229 222 32 423 306 141 343 235 257 61 23 252 409 247 127 248 315 388 180 419 110 416 34 186 387 100 346 251 82 205 12 155 75 165 54 221 316 369 305 7 125 220 189 408 347 194 53 27 212 122 291 184 293 344 329 405 288 101 173 411 83 431 280 166 368 380 399 17 253 390 91 175 258 108 96 389 259 208 156 199 404 282 197 151 131 376 426 161 182 439 22 206 118 294 29 172 119 198 48 239 224 230 433 299 240 265 71 321 301 174 348 193 133 271 65 324 2 192 363 272 335 267 345 168 153 107 355 429 
debug:Remaining 2opt times:	9934
debug:After 2opt Total Distance:	7048
debug:Remaining 2opt times:	9933
debug:After 2opt Total Distance:	7032
debug:Remaining 2opt times:	9932
debug:After 2opt Total Distance:	7017
debug:Remaining 2opt times:	9931
debug:After 2opt Total Distance:	7014
debug:Remaining 2opt times:	9930
debug:After 2opt Total Distance:	7013
debug:Remaining 2opt times:	9929
debug:After 2opt Total Distance:	7013
debug:Remaining 2opt times:	9928
debug:After 2opt Total Distance:	7013
debug:Remaining 2opt times:	9927
debug:After 2opt Total Distance:	7011
debug:Remaining 2opt times:	9926
debug:After 2opt Total Distance:	7007
debug:Remaining 2opt times:	9925
debug:After 2opt Total Distance:	6999
debug:Remaining 2opt times:	9924
debug:After 2opt Total Distance:	6992
debug:Remaining 2opt times:	9923
debug:After 2opt Total Distance:	6965
debug:Remaining 2opt times:	9922
debug:After 2opt Total Distance:	6948
debug:Remaining 2opt times:	9921
debug:After 2opt Total Distance:	6948
debug:Remaining 2opt times:	9920
debug:After 2opt Total Distance:	6944
debug:Remaining 2opt times:	9919
debug:After 2opt Total Distance:	6944
debug:Remaining 2opt times:	9918
debug:After 2opt Total Distance:	6939
debug:Remaining 2opt times:	9917
debug:After 2opt Total Distance:	6884
debug:Remaining 2opt times:	9916
debug:After 2opt Total Distance:	6876
debug:Remaining 2opt times:	9915
debug:After 2opt Total Distance:	6864
debug:Remaining 2opt times:	9914
debug:After 2opt Total Distance:	6863
debug:Remaining 2opt times:	9913
debug:After 2opt Total Distance:	6837
debug:Remaining 2opt times:	9912
debug:After 2opt Total Distance:	6825
debug:Remaining 2opt times:	9911
debug:After 2opt Total Distance:	6800
debug:Remaining 2opt times:	9910
debug:After 2opt Total Distance:	6799
debug:Remaining 2opt times:	9909
debug:After 2opt Total Distance:	6792
debug:Remaining 2opt times:	9908
debug:After 2opt Total Distance:	6791
debug:Remaining 2opt times:	9907
debug:After 2opt Total Distance:	6775
debug:Remaining 2opt times:	9906
debug:After 2opt Total Distance:	6757
debug:Remaining 2opt times:	9905
debug:After 2opt Total Distance:	6756
debug:Remaining 2opt times:	9904
debug:After 2opt Total Distance:	6755
debug:Remaining 2opt times:	9903
debug:After 2opt Total Distance:	6745
debug:Remaining 2opt times:	9902
debug:After 2opt Total Distance:	6743
debug:Remaining 2opt times:	9901
debug:After 2opt Total Distance:	6742
debug:Remaining 2opt times:	9900
debug:After 2opt Total Distance:	6739
debug:Remaining 2opt times:	9899
debug:After 2opt Total Distance:	6737
debug:Remaining 2opt times:	9898
debug:After 2opt Total Distance:	6721
debug:Remaining 2opt times:	9897
debug:After 2opt Total Distance:	6706
debug:Remaining 2opt times:	9896
debug:After 2opt Total Distance:	6663
debug:Remaining 2opt times:	9895
debug:After 2opt Total Distance:	6623
debug:Remaining 2opt times:	9894
debug:After 2opt Total Distance:	6608
debug:Remaining 2opt times:	9893
debug:After 2opt Total Distance:	6600
debug:Remaining 2opt times:	9892
debug:After 2opt Total Distance:	6600
debug:Remaining 2opt times:	9891
debug:After 2opt Total Distance:	6594
debug:Remaining 2opt times:	9890
debug:After 2opt Total Distance:	6593
debug:Remaining 2opt times:	9889
debug:After 2opt Total Distance:	6579
debug:Remaining 2opt times:	9888
debug:After 2opt Total Distance:	6569
debug:Remaining 2opt times:	9887
debug:After 2opt Total Distance:	6566
debug:Remaining 2opt times:	9886
debug:After 2opt Total Distance:	6563
debug:Remaining 2opt times:	9885
debug:After 2opt Total Distance:	6562
